id	name	signature	category	tests	harness	conv	spec	vectors	tags	js_signature	rust_signature
1	SQUARE	(i64 -- i64)	arithmetic	7 -> 49; -3 -> 9	forth	stack	Define SQUARE with the checked Forth stack effect.	-	arithmetic,forth	-	-
2	CUBE	(i64 -- i64)	arithmetic	3 -> 27	forth	stack	Define CUBE with the checked Forth stack effect.	-	arithmetic,forth	-	-
3	ABSV	(i64 -- i64)	control	-5 -> 5; 4 -> 4	forth	stack	Define ABSV with the checked Forth stack effect.	-	control,forth	-	-
4	NEG?	(i64 -- bool)	bool	-5 -> -1; 5 -> 0	forth	stack	Define NEG? with the checked Forth stack effect.	-	bool,forth	-	-
5	CLAMP0	(i64 -- i64)	control	-7 -> 0; 4 -> 4	forth	stack	Define CLAMP0 with the checked Forth stack effect.	-	control,forth	-	-
6	SUM3	(i64 i64 i64 -- i64)	arithmetic	1 2 3 -> 6	forth	stack	Define SUM3 with the checked Forth stack effect.	-	arithmetic,forth	-	-
7	AVG2	(i64 i64 -- i64)	locals	10 20 -> 15	forth	stack	Define AVG2 with the checked Forth stack effect.	-	locals,forth	-	-
8	MAX2	(i64 i64 -- i64)	locals	3 9 -> 9; 9 3 -> 9	forth	stack	Define MAX2 with the checked Forth stack effect.	-	locals,forth	-	-
9	SWAP2	(a b -- b a)	polymorphic	1 2 -> 2 1	forth	stack	Define SWAP2 with the checked Forth stack effect.	-	polymorphic,forth	-	-
10	ROT3	(a b c -- b c a)	polymorphic	1 2 3 -> 2 3 1	forth	stack	Define ROT3 with the checked Forth stack effect.	-	polymorphic,forth	-	-
11	SUMTO	(i64 -- i64)	loop	5 -> 15; 0 -> 0	forth	stack	Define SUMTO with the checked Forth stack effect.	-	loop,forth	-	-
12	FACT	(i64 -- i64)	loop	5 -> 120; 0 -> 1	forth	stack	Define FACT with the checked Forth stack effect.	-	loop,forth	-	-
13	KEEP1	(i64 -- i64)	return-stack	5 -> 55	forth	stack	Define KEEP1 with the checked Forth stack effect.	-	return-stack,forth	-	-
14	TWICE	(i64 -- i64)	quotation	21 -> 42	forth	stack	Define TWICE with the checked Forth stack effect.	-	quotation,forth	-	-
15	APPLY	(i64 [ i64 -- i64 ] -- i64)	quotation	5 square -> 25	forth	stack	Define APPLY with the checked Forth stack effect.	-	quotation,forth	-	-
16	MIN2	(i64 i64 -- i64)	locals	3 9 -> 3; 9 3 -> 3	forth	stack	Define MIN2 with the checked Forth stack effect.	-	locals,forth	-	-
17	SIGNUM	(i64 -- i64)	nested-control	-4 -> -1; 0 -> 0; 7 -> 1	forth	stack	Define SIGNUM with the checked Forth stack effect.	-	nested-control,forth	-	-
18	2DUP2	(a b -- a b a b)	polymorphic	1 2 -> 1 2 1 2	forth	stack	Define 2DUP2 with the checked Forth stack effect.	-	polymorphic,forth	-	-
19	POW	(i64 i64 -- i64)	loop	2 3 -> 8; 5 0 -> 1	forth	stack	Define POW with the checked Forth stack effect.	-	loop,forth	-	-
20	COUNTDOWN	(i64 -- i64)	loop	5 -> 5	forth	stack	Define COUNTDOWN with the checked Forth stack effect.	-	loop,forth	-	-
21	DIP	(R x [ R -- S ] -- S x)	combinator	1 2 add10 -> 11 2	forth	stack	Define DIP with the checked Forth stack effect.	-	combinator,forth	-	-
22	KEEP	(x [ x -- a ] -- a x)	combinator	5 square -> 25 5	forth	stack	Define KEEP with the checked Forth stack effect.	-	combinator,forth	-	-
23	BI	(x [ x -- a ] [ x -- b ] -- a b)	combinator	4 inc square -> 5 16	forth	stack	Define BI with the checked Forth stack effect.	-	combinator,forth	-	-
24	INC	(i64 -- i64)	arithmetic	41 -> 42	forth	stack	Define INC with the checked Forth stack effect.	-	arithmetic,forth	-	-
25	DEC	(i64 -- i64)	arithmetic	42 -> 41	forth	stack	Define DEC with the checked Forth stack effect.	-	arithmetic,forth	-	-
26	DOUBLE	(i64 -- i64)	arithmetic	21 -> 42	forth	stack	Define DOUBLE with the checked Forth stack effect.	-	arithmetic,forth	-	-
27	EVEN?	(i64 -- bool)	bool	8 -> -1; 9 -> 0	forth	stack	Define EVEN? with the checked Forth stack effect.	-	bool,forth	-	-
28	BETWEEN?	(i64 i64 i64 -- bool)	bool	5 1 9 -> -1; 10 1 9 -> 0	forth	stack	Define BETWEEN? with the checked Forth stack effect.	-	bool,forth	-	-
29	SUMSQ	(i64 i64 -- i64)	locals	3 4 -> 25	forth	stack	Define SUMSQ with the checked Forth stack effect.	-	locals,forth	-	-
30	COMPOSE2	(i64 [ i64 -- i64 ] [ i64 -- i64 ] -- i64)	combinator	4 inc square -> 25	forth	stack	Define COMPOSE2 with the checked Forth stack effect.	-	combinator,forth	-	-
31	DEPTHNOW	(R -- R n)	stack-introspection	11 22 -> 11 22 2	forth	stack	Define DEPTHNOW with the checked Forth stack effect.	-	stack-introspection,forth	-	-
32	HAS2?	(R -- R bool)	stack-introspection	empty -> 0; 1 -> 1 0; 1 2 -> 1 2 -1	forth	stack	Define HAS2? with the checked Forth stack effect.	-	stack-introspection,forth	-	-
33	ADDDEPTH	(R i64 -- R i64)	stack-introspection	10 -> 11; 3 4 10 -> 3 4 13	forth	stack	Define ADDDEPTH with the checked Forth stack effect.	-	stack-introspection,forth	-	-
34	MEMCELL	(i64 -- i64)	memory	42 -> 42	forth	stack	Define MEMCELL with the checked Forth stack effect.	-	memory,forth	-	-
35	BYTECELL	(u8 -- u8)	byte-memory	65 -> 65	forth	stack	Define BYTECELL with the checked Forth stack effect.	-	byte-memory,forth	-	-
36	STRLEN	(-- i64)	strings	empty -> 4	forth	stack	Define STRLEN with the checked Forth stack effect.	-	strings,forth	-	-
37	FIRSTCH	(-- u8)	strings	empty -> 104	forth	stack	Define FIRSTCH with the checked Forth stack effect.	-	strings,forth	-	-
38	TWOCELLS	(i64 -- i64)	memory	1 -> 100	forth	stack	Define TWOCELLS with the checked Forth stack effect.	-	memory,forth	-	-
39	MONO?	(-- bool)	time	empty -> -1	forth	stack	Define MONO? with the checked Forth stack effect.	-	time,forth	-	-
40	TRUE-RC	(-- i64)	process	empty -> 0	forth	stack	Define TRUE-RC with the checked Forth stack effect.	-	process,forth	-	-
41	TRUE-EXISTS?	(-- bool)	files	empty -> -1	forth	stack	Define TRUE-EXISTS? with the checked Forth stack effect.	-	files,forth	-	-
42	STATTRUE	(-- bool)	files	empty -> -1	forth	stack	Define STATTRUE with the checked Forth stack effect.	-	files,forth	-	-
43	FIB	(i64 -- i64)	recursion	6 -> 8	forth	stack	Define FIB with the checked Forth stack effect.	-	recursion,forth	-	-
44	SEVEN-CHAR	(-- i64)	parsing	empty -> 55	forth	stack	Define SEVEN-CHAR with the checked Forth stack effect.	-	parsing,forth	-	-
45	AOT-STR	(-- i64)	aot-safe	empty -> 50	forth	stack	Define AOT-STR with the checked Forth stack effect.	-	aot-safe,forth	-	-
46	ARR-SUM	(ptr a n -- i64)	arrays	[3 1 4 1 5] -> 14; [1 2 3] -> 6; [5] -> 5; [-2 -3] -> -5; [0 0 0] -> 0	array	as	Return the sum of all elements of the array.	[3 1 4 1 5] -> 14; [1 2 3] -> 6; [5] -> 5; [-2 -3] -> -5; [0 0 0] -> 0	array,scalar,fold	function f(a) -> number	fn f(a: &[i64]) -> i64
47	ARR-MAX	(ptr a n -- i64)	arrays	[3 1 4 1 5] -> 5; [1] -> 1; [-5 -2 -9] -> -2; [7 7 7] -> 7	array	as	Return the maximum element of the array (length >= 1).	[3 1 4 1 5] -> 5; [1] -> 1; [-5 -2 -9] -> -2; [7 7 7] -> 7	array,scalar,comparison	function f(a) -> number	fn f(a: &[i64]) -> i64
48	ARR-MIN	(ptr a n -- i64)	arrays	[3 1 4 1 5] -> 1; [9] -> 9; [-5 -2 -9] -> -9; [4 4 4] -> 4	array	as	Return the minimum element of the array (length >= 1).	[3 1 4 1 5] -> 1; [9] -> 9; [-5 -2 -9] -> -9; [4 4 4] -> 4	array,scalar,comparison	function f(a) -> number	fn f(a: &[i64]) -> i64
49	ARGMAX	(ptr a n -- i64)	arrays	[3 1 4 1 5] -> 4; [9 1 1] -> 0; [1 5 5 2] -> 1; [5] -> 0	array	as	Return the index of the maximum element; on ties return the smallest index.	[3 1 4 1 5] -> 4; [9 1 1] -> 0; [1 5 5 2] -> 1; [5] -> 0	array,scalar,index,comparison	function f(a) -> number	fn f(a: &[i64]) -> i64
50	COUNT-EVEN	(ptr a n -- i64)	arrays	[3 1 4 1 5] -> 1; [2 4 6] -> 3; [1 3 5] -> 0; [0 2 0] -> 3	array	as	Return how many elements of the array are even (0 counts as even).	[3 1 4 1 5] -> 1; [2 4 6] -> 3; [1 3 5] -> 0; [0 2 0] -> 3	array,scalar,predicate	function f(a) -> number	fn f(a: &[i64]) -> i64
51	REVERSE	(ptr a n --)	arrays	[3 1 4 1 5] -> [5 1 4 1 3]; [1 2 3] -> [3 2 1]; [7] -> [7]; [1 2] -> [2 1]	array	aa	Reverse the array in place (or return the reversed array).	[3 1 4 1 5] -> [5 1 4 1 3]; [1 2 3] -> [3 2 1]; [7] -> [7]; [1 2] -> [2 1]	array,mutation,two-pointer	function f(a) -> Array<number>	fn f(a: &[i64]) -> Vec<i64>
52	PREFIXSUM	(ptr a n --)	arrays	[3 1 4 1 5] -> [3 4 8 9 14]; [1 1 1] -> [1 2 3]; [5] -> [5]; [2 -1 3] -> [2 1 4]	array	aa	Replace each element with the running sum of all elements up to and including it.	[3 1 4 1 5] -> [3 4 8 9 14]; [1 1 1] -> [1 2 3]; [5] -> [5]; [2 -1 3] -> [2 1 4]	array,mutation,prefix	function f(a) -> Array<number>	fn f(a: &[i64]) -> Vec<i64>
53	SQ-EACH	(ptr a n --)	arrays	[3 1 4 1 5] -> [9 1 16 1 25]; [-2 3] -> [4 9]; [0 5] -> [0 25]	array	aa	Replace each element with its square.	[3 1 4 1 5] -> [9 1 16 1 25]; [-2 3] -> [4 9]; [0 5] -> [0 25]	array,mutation,map	function f(a) -> Array<number>	fn f(a: &[i64]) -> Vec<i64>
54	NEGATE-EACH	(ptr a n --)	arrays	[3 1 4 1 5] -> [-3 -1 -4 -1 -5]; [-2 0 7] -> [2 0 -7]; [5] -> [-5]	array	aa	Replace each element with its negation.	[3 1 4 1 5] -> [-3 -1 -4 -1 -5]; [-2 0 7] -> [2 0 -7]; [5] -> [-5]	array,mutation,map	function f(a) -> Array<number>	fn f(a: &[i64]) -> Vec<i64>
55	RUNMAX	(ptr a n --)	arrays	[3 1 4 1 5] -> [3 3 4 4 5]; [1 2 3] -> [1 2 3]; [5 4 3] -> [5 5 5]; [2 7 1] -> [2 7 7]	array	aa	Replace each element with the maximum of all elements from the start up to and including it.	[3 1 4 1 5] -> [3 3 4 4 5]; [1 2 3] -> [1 2 3]; [5 4 3] -> [5 5 5]; [2 7 1] -> [2 7 7]	array,mutation,prefix,comparison	function f(a) -> Array<number>	fn f(a: &[i64]) -> Vec<i64>
56	CALL-TWICE	(i64 [ i64 -- i64 ] -- i64)	quotation	3 inc -> 5	forth	stack	Define CALL-TWICE with a checked quotation parameter and execute it twice.	-	quotation,forth,v2,checker	-	-
57	R-KEEP2	(i64 -- i64)	return-stack	7 -> 21	forth	stack	Define R-KEEP2 with checked return-stack traffic, preserving one copy while doubling the top value.	-	return-stack,forth,v2,checker	-	-
58	ROW-DUP	(R x -- R x x)	row-polymorphism	11 22 -> 11 22 22	forth	stack	Define ROW-DUP with an explicit row-polymorphic checked stack effect.	-	row-polymorphism,forth,v2,checker	-	-
59	UNTIL5	(i64 -- i64)	control-loop	3 -> 3; 8 -> 5	forth	stack	Define UNTIL5 with a checked loop and early LEAVE when the loop index reaches 5.	-	control-loop,forth,v2,checker	-	-
60	MEM-SWAPCELL	(i64 i64 -- i64 i64)	memory	4 9 -> 9 4	forth	stack	Define MEM-SWAPCELL using here, allot, cell stores, and cell fetches to swap two values.	-	memory,forth,v2,checker	-	-
61	TRI	(x [ x -- a ] [ x -- b ] [ x -- c ] -- a b c)	checked-combinator	3 inc double square -> 4 6 9	forth	stack	Define TRI with three checked quotation parameters that all receive the same input.	-	checked-combinator,forth,v2,checker	-	-
62	DATE-PARSE-OK?	(-- bool)	date	empty -> -1	stdlib	stack	Using PARSE-YMD, parse 2026-06-16 and verify it is Unix epoch day 20620.	-	date,time,stdlib,v2,parse-ymd	-	-
63	DATE-FORMAT-OK?	(-- bool)	date	empty -> -1	stdlib	stack	Using FORMAT-YMD, format Unix epoch day 20620 and compare it with 2026-06-16.	-	date,time,stdlib,v2,format-ymd	-	-
64	EPOCH-UTC-OK?	(-- bool)	date	empty -> -1	stdlib	stack	Using FORMAT-EPOCH-UTC, format 90061 seconds as 1970-01-02T01:01:01Z.	-	date,time,stdlib,v2,format-epoch-utc	-	-
65	MONO-ELAPSED?	(-- bool)	time	empty -> -1	stdlib	stack	Using TIME-MONO-NS, compute an elapsed monotonic duration shape and verify it is nonnegative.	-	time,stdlib,v2,mono-ns	-	-
66	INVALID-DATE?	(-- bool)	date	empty -> -1	stdlib	stack	Using PARSE-YMD, reject invalid Gregorian date 2026-02-29.	-	date,time,stdlib,v2,invalid-date	-	-
67	AOT-MAIN-ARITH	(-- i64)	aot-safe	stdout 42	aot	build-run	Build a stripped-AOT checked MAIN that computes 6 7 * and prints 42.	stdout 42	aot-safe,aot-positive,v2,checked	-	-
68	AOT-MAIN-STRING	(-- i64)	aot-safe	stdout 50	aot	build-run	Build a stripped-AOT checked MAIN that uses a string literal length and char literal to print 50.	stdout 50	aot-safe,aot-positive,v2,checked	-	-
