# habu kernel profile-row registry v1 (tools/ptx/perf-registry.f owns the format)
# One row per kernel-optimization rung, shape, and metric. Tab-separated, 12 fields:
# kernel	grid	gridy	block	blocky	iters	work	metric	value_x1000	device	date	note
# metric: GBS (GB/s x1000), GFLOPS (GFLOP/s x1000), PCT-ROOF (permille of the owning roof), WAIVER (device-gated, value 0, note documents why).
# Values are CUDA-event device timings via tools/ptx/bench.f unless the note says otherwise.
SAXPY	4096	1	256	1	200	1048576	GBS	42865	orin-nx-15w	2026-07-01	M9 scalar baseline, 1 elem/thread (dot 548b0d4c checkpoint)
SAXPY-V4	1024	1	256	1	200	1048576	GBS	64209	orin-nx-15w	2026-07-01	M9 v4 tile, 4 elems/thread; memory-roof parity with Triton (docs/eval-triton.md)
UNFUSED-SAXPY-V4+RELU-V4	1024	1	256	1	200	1048576	GBS	63292	orin-nx-15w	2026-07-01	two launches, 66.269 ms / 200 iters, 20 B/elem (tools/ptx/fusion-compare.f)
FUSED-RELU-V4	1024	1	256	1	200	1048576	GBS	64183	orin-nx-15w	2026-07-01	fused relu(a*x+y), 39.209 ms / 200 iters; fusion_elapsed_ratio_x1000=1690
SAXPY-V4	1024	1	256	1	200	1048576	PCT-ROOF	1019	orin-nx-15w	2026-07-01	vs 63 GB/s measured memory roof (docs/kernel-principles.md)
MMN	32	32	16	16	200	262144	GFLOPS	55002	orin-nx-15w	2026-07-05	naive GEMM 512^3, 1 elem/thread (docs/eval-triton.md GEMM step 1)
MMN	64	64	16	16	80	1048576	GFLOPS	55226	orin-nx-15w	2026-07-05	naive GEMM 1024^3
MMN	128	128	16	16	30	4194304	GFLOPS	54619	orin-nx-15w	2026-07-05	naive GEMM 2048^3
MM-BK16	8	8	16	16	200	262144	GFLOPS	356588	orin-nx-15w	2026-07-05	register-blocked 64x64 tile, bk=16, 512^3 (step 1)
MM-BK16	16	16	16	16	80	1048576	GFLOPS	374984	orin-nx-15w	2026-07-05	register-blocked 64x64 tile, bk=16, 1024^3
MM-BK16	32	32	16	16	30	4194304	GFLOPS	380501	orin-nx-15w	2026-07-05	register-blocked 64x64 tile, bk=16, 2048^3
MM-BK32-V4	8	8	16	16	200	262144	GFLOPS	378584	orin-nx-15w	2026-07-05	step 2 +A: bk=32 + ld.shared.v4 B, 512^3
MM-BK32-V4	16	16	16	16	80	1048576	GFLOPS	397206	orin-nx-15w	2026-07-05	step 2 +A, 1024^3
MM-BK32-V4	32	32	16	16	30	4194304	GFLOPS	402526	orin-nx-15w	2026-07-05	step 2 +A, 2048^3
MM-CPASYNC	8	8	16	16	200	262144	GFLOPS	416684	orin-nx-15w	2026-07-05	step 2 +B: cp.async double-buffered, stages=2, 512^3
MM-CPASYNC	16	16	16	16	80	1048576	GFLOPS	436774	orin-nx-15w	2026-07-05	step 2 +B, 1024^3
MM-CPASYNC	32	32	16	16	30	4194304	GFLOPS	441801	orin-nx-15w	2026-07-05	step 2 +B, 2048^3
MM-CPASYNC	32	32	16	16	30	4194304	PCT-ROOF	470	orin-nx-15w	2026-07-05	vs 940 GFLOP/s FP32 CUDA-core roof
MMM-TF32	8	8	16	16	200	262144	GFLOPS	375600	orin-nx-15w	2026-07-05	step 3 tensor-core mma.sync TF32, cp.async staging, 512^3
MMM-TF32	16	16	16	16	80	1048576	GFLOPS	393500	orin-nx-15w	2026-07-05	step 3, 1024^3
MMM-TF32	32	32	16	16	30	4194304	GFLOPS	398500	orin-nx-15w	2026-07-05	step 3, 2048^3 (tensor-core roof; does not yet beat MM-CPASYNC)
MMM-TF32-LDM	8	8	16	16	200	262144	GFLOPS	370000	orin-nx-15w	2026-07-05	step 3c ldmatrix.x4 A-fragment ablation - NEGATIVE, default stays scalar+cvt, 512^3
MMM-TF32-LDM	16	16	16	16	80	1048576	GFLOPS	388900	orin-nx-15w	2026-07-05	step 3c ablation, 1024^3
MMM-TF32-LDM	32	32	16	16	30	4194304	GFLOPS	394300	orin-nx-15w	2026-07-05	step 3c ablation, 2048^3
SAXPY-V4	1024	1	256	1	200	1048576	GBS	93414	orin-nx-25w	2026-07-14	v4 tile, 4 elems/thread; 25W mode-3 (8 SMs) @ 918 MHz GPU clock (tools/ptx/fusion-compare.f)
UNFUSED-SAXPY-V4+RELU-V4	1024	1	256	1	200	1048576	GBS	92817	orin-nx-25w	2026-07-14	two launches, 45.189 ms / 200 iters, 20 B/elem; 25W mode-3 @ 918 MHz (tools/ptx/fusion-compare.f)
FUSED-RELU-V4	1024	1	256	1	200	1048576	GBS	93591	orin-nx-25w	2026-07-14	fused relu(a*x+y), 26.889 ms / 200 iters; fusion_elapsed_ratio_x1000=1680; 25W mode-3 @ 918 MHz
SAXPY-V4	1024	1	256	1	200	1048576	PCT-ROOF	1004	orin-nx-25w	2026-07-14	vs 93 GB/s measured memory roof at 25W (docs/kernel-principles.md)
MMN	32	32	16	16	200	262144	GFLOPS	122093	orin-nx-25w	2026-07-14	naive GEMM 512^3, 1 elem/thread; 25W mode-3 (8 SMs) @ 918 MHz (tools/ptx/gemm-bench.f)
MMN	64	64	16	16	80	1048576	GFLOPS	108082	orin-nx-25w	2026-07-14	naive GEMM 1024^3; 25W mode-3 @ 918 MHz
MMN	128	128	16	16	30	4194304	GFLOPS	107804	orin-nx-25w	2026-07-14	naive GEMM 2048^3; 25W mode-3 @ 918 MHz
MM	8	8	16	16	200	262144	GFLOPS	918842	orin-nx-25w	2026-07-14	register-blocked 64x64 cp.async FP32 tile (lib/ptx/cg-matmul.f), 512^3; 25W mode-3 (8 SMs) @ 918 MHz
MM	16	16	16	16	80	1048576	GFLOPS	967846	orin-nx-25w	2026-07-14	register-blocked cp.async FP32 tile, 1024^3; 25W mode-3 @ 918 MHz
MM	32	32	16	16	30	4194304	GFLOPS	979866	orin-nx-25w	2026-07-14	register-blocked cp.async FP32 tile, 2048^3; 25W mode-3 @ 918 MHz
MM	32	32	16	16	30	4194304	PCT-ROOF	521	orin-nx-25w	2026-07-14	vs 1880 GFLOP/s FP32 CUDA-core roof (8 SMs @ 918 MHz)
MMM	8	8	16	16	200	262144	GFLOPS	830104	orin-nx-25w	2026-07-14	tensor-core TF32 mma.sync 64x64 scalar+cvt baseline (lib/ptx/cg-mma.f), 512^3; 25W mode-3 (8 SMs) @ 918 MHz
MMM	16	16	16	16	80	1048576	GFLOPS	872934	orin-nx-25w	2026-07-14	tensor-core TF32 mma.sync baseline, 1024^3; 25W mode-3 @ 918 MHz
MMM	32	32	16	16	30	4194304	GFLOPS	884889	orin-nx-25w	2026-07-14	tensor-core TF32 mma.sync baseline, 2048^3; 25W mode-3 @ 918 MHz
ATTENTION	64	1	64	1	2000	4096	GFLOPS	20529	orin-nx-25w	2026-07-14	fused softmax(Q*K^T)*V one query/block, N=64 D=64; 25W mode-3 (8 SMs) @ 918 MHz (tools/ptx/attention-bench.f); FLOP model 4*N*N*D+5*N*N
ATTENTION	128	1	128	1	2000	8192	GFLOPS	22109	orin-nx-25w	2026-07-14	fused softmax(Q*K^T)*V one query/block, N=128 D=64; 25W mode-3 (8 SMs) @ 918 MHz (tools/ptx/attention-bench.f); FLOP model 4*N*N*D+5*N*N
